,Title,Link,company,Industrial,Area,Experience,Education,Pay,Keyword
21,Data Scientist,https://www.104.com.tw/job/6ylyi?jobsource=2018indexpoc,巨量移動科技有限公司,電腦軟體服務業,台北市中正區,經歷不拘,碩士,待遇面議,"['()', '協', '助', '開', '發', 'Data', 'cleaning', 'Data', 'preprocessing', 'Feature', 'engineering', 'Modeling', '等', '自', '動', '化', '資', '料', '分析', '系', '統', '()', '協', '助', '客', '戶', '將', '資', '料及', '系', '統', '導', '入', 'Decanter', 'AI', 'Engine', '產', '品', '服', '務', '()', '開', '發', '優', '化', 'Decanter', 'AI', 'Engine', '資', '料', '分析', '演算', '演算法', '算法', '()', '整合', '優', '化', 'NN', '系列', 'Deep', 'Learning', '資', '料', '分析', '演算', '演算法', '算法', '()', '協', '助', '發', '撰', '寫', '專', '利', '及', '案例', '分析', '()', '資', '料', '分析', '專', '案', '管理', '()', '資', '料', '視', '覺', '化', '圖', '表', '設', '計', '有', '責', '任', '心', '、', '團', '隊', '精神', '、', '溝', '通', '、', '樂', '於', '自主', '學', '習', '必', '須', '具', '備', '國', '內', '外', '碩', '博士', '學', '位', '(', '博士', '尤佳', ')', '領', '域', '不拘', '，', '但', '對', '醫', '學', '應', '用', '有', '經', '驗', '或', '興', '趣', '薪', '資', '範', '圍', '：', '面', '議', '如有', '其他', '實', '務', '經', '驗', '或', '能力', '證', '明', '，', '薪', '資', '幅度', '可', '談', '。', '另', '設', '有', '專', '案', '獎', '金', '(', '專', '案', '完成', '後', '可以', '領', '取', ')']"
22,F16/QE - Big Data Engineer,https://www.104.com.tw/job/5yevo?jobsource=2018indexpoc,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),半導體製造業,台中市后里區,經歷不拘,碩士,待遇面議,"['Micron', 'in', 'TaiwanMicron', '’', 's', 'global', 'footprint', 'is', 'designed', 'to', 'deliver', 'comprehensive', 'customer', 'collaboration', 'support', 'and', 'quality', 'around', 'the', 'world', 'and', 'throughout', 'the', 'product', 'lifecycle', 'Taiwan', 'plays', 'a', 'meaningful', 'role', 'in', 'strengthening', 'Micron', '’', 's', 'position', 'in', 'leading', '-', 'edge', 'DRAMMicron', '’', 's', 'Taiwan', 'sites', 'include', 'sales', 'and', 'technical', 'support', 'in', 'Taipei', 'along', 'with', 'state', '-', 'of', '-', 'the', '-', 'art', 'fabrication', 'facilities', 'in', 'Taichung', 'and', 'Taoyuan', 'that', 'together', 'comprise', 'the', 'company', '’', 's', 'DRAM', 'Center', 'of', 'Perfection', 'The', 'Center', '’', 's', 'goal', 'is', 'to', 'achieve', 'the', 'most', 'efficient', 'and', 'effective', 'technology', 'transfer', 'and', 'manufacturing', 'ramp', 'by', 'combining', 'front', '-', 'and', 'back', '-', 'end', 'manufacturing', 'product', 'engineering', 'and', 'technology', 'development', 'rolesJob', 'DescriptionAs', 'a', 'Big', 'Data', 'Software', 'Engineer', 'at', 'Micron', 'Technology', 'Inc', 'you', 'are', 'a', 'key', 'member', 'of', 'a', 'cross', '-', 'functional', 'team', 'responsible', 'for', 'developing', 'and', 'growing', 'Micron', '’', 's', 'methods', 'and', 'systems', 'for', 'extracting', 'new', 'insights', 'from', 'our', 'rapidly', 'growing', 'data', 'streams', 'You', 'will', 'Works', 'with', 'large', 'volume', 'of', 'data', 'on', 'the', 'big', 'data', 'platform', 'perform', 'data', 'analysis', 'and', 'mining', 'to', 'generate', 'solutions', 'to', 'yield', '/', 'quality', 'problemsIdentify', 'new', 'data', '-', 'source', 'in', 'the', 'network', 'that', 'will', 'build', 'new', 'insights', 'to', 'business', 'needsDevelop', 'ETL', 'jobs', 'for', 'large', 'volume', 'of', 'data', 'that', 'is', 'fast', 'and', 'reliable', 'in', 'a', 'Big', 'Data', 'platformDevelop', 'Big', 'Data', 'analytic', 'solution', 'to', 'analyze', 'and', 'link', 'multiple', 'data', '-', 'source', 'in', 'the', 'Big', 'Data', 'platformCraft', 'new', 'visualization', 'software', 'that', 'demonstrate', 'machine', 'learning', 'and', 'predictive', 'analytic', 'to', 'bring', 'new', 'insights', 'and', 'solution', 'to', 'the', 'businessResponsibilities', 'and', 'Tasks', ':', 'Design', 'develop', 'code', 'test', 'improve', 'and', 'debug', 'ETL', 'packages', 'stored', 'procedures', 'and', 'data', 'flowsParticipate', 'in', 'design', 'development', 'and', 'deployment', 'of', 'Data', 'Warehouse', 'data', 'modelsCollaborate', 'with', 'business', 'partners', 'and', 'other', 'IT', 'teams', 'to', 'ensure', 'high', 'quality', 'data', 'solutions', 'are', 'deliveredSolve', 'operational', 'critical', 'issues', 'and', 'resolve', 'business', 'partner', 'issues', 'in', 'a', 'timely', 'manner', 'with', 'strong', 'collaboration', 'and', 'care', 'for', 'business', 'prioritiesDocument', 'existing', 'and', 'new', 'work', 'performedDesired', 'Qualifications', 'and', 'Experience', ':', 'Development', 'skills', 'with', 'Java', 'Python', 'Scala', 'or', 'other', 'languagesHadoop', 'ecosystem', '(', 'Spark', 'Hive', 'HBase', 'Spark', 'Kafka', 'NiFi', ')', 'Experience', 'with', 'relational', 'databases', '(', 'Teradata', 'MS', 'SQL', 'Oracle', 'MySQL', ')', 'Proficiency', 'with', 'development', 'tools', '(', 'Git', '/', 'SVN', 'Artifactory', 'Maven', 'Jenkins', ')', 'Strong', 'communication', 'skills', '(', 'written', 'verbal', 'and', 'presentation', ')', 'Ability', 'to', 'analyze', 'problems', 'identify', 'and', 'implement', 'solutionsAbility', 'for', 'minimal', 'international', 'travelEducation', ':', 'MS', 'degree', 'in', 'Computer', 'Science', 'or', 'related', 'field', 'of', 'study', 'We', 'are', 'an', 'equal', 'opportunity', 'employer', 'and', 'value', 'diversity', 'at', 'our', 'company', 'We', 'do', 'not', 'discriminate', 'on', 'the', 'basis', 'of', 'race', 'religion', 'color', 'national', 'origin', 'gender', 'sexual', 'orientation', 'age', 'marital', 'status', 'veteran', 'status', 'or', 'disability', 'statAccording', 'to', 'the', '""', 'Employment', 'Service', 'Act', '""', 'any', 'position', 'with', 'salary', 'lower', 'than', 'NTD', '$', 'please', 'refer', 'to', 'the', 'salary', 'information', 'in', 'the', 'job', 'description', 'Positions', 'with', 'a', 'salary', 'over', 'NTD', '$', 'may', 'not', 'be', 'mentioned', 'in', 'the', 'job', 'description', 'and', 'will', 'be', 'discussed', 'in', 'interviewQualifications', '‧', 'years', ""'"", 'experience', 'with', 'web', 'design', '/', 'programming', 'are', 'required', '(', 'ASPNET', 'HTML', 'C#', 'Java', 'PHP', 'JavaScript', 'JQuery', 'Bootstrap', 'CSS', 'Git', 'SVN', ')', '‧', 'Experience', 'with', 'web', 'system', 'maintain', '(', 'IIS', 'apache', ')', '‧', 'Experience', 'with', 'relational', 'databases', '(', 'MSSQL', 'MySQL', 'Oracle', ')', '‧', 'Experience', 'with', 'Python', 'Django', 'R', 'a', 'plus', '‧', 'Experience', 'with', 'Hadoop', 'ecosystem', 'a', 'plus', '(', 'hive', 'hbase', 'pig', 'spark', 'scala', 'nifi', ')', '‧', 'Excellent', 'communication', 'and', 'problem', 'solving', 'skills', '‧', 'Good', 'communication', 'skills', 'in', 'English', 'or', 'TOEIC', 'and', 'above', '人力', '銀', '行', '投', '遞', '之', '履', '歷', '，', '將', '彙', '整', '至', '本', '公司', '內', '部', '人才', '資', '料', '庫', '供', '主管', '閱', '覽', '，', '故人', '人力', '銀', '行', '上', '查', '無', '點', '閱', '紀', '錄', '，', '請', '勿', '擔', '心', '，', '詳', '細', '應', '徵', '流程', '歡', '迎', '至', '公司', '網', '頁', 'http', '://', 'twmicroncom', '/', '查', '詢', '，', '謝', '謝', '。', '***', '請', '務', '必', '至', '本', '公司', '職', '缺', '網', '站', 'https', '://', 'careersuccessfactorscom', '/', 'sfcareer', '/', 'jobreqcareer', '?', 'jobId', '=', '&', 'company', '=', 'micron', '&', 'username', '=', '應', '徵', '本', '職', '缺', '，', '並', '附上', '英文', '履', '歷', '/', '自', '傳', '。', '謝', '謝', '。***', '◆', '歡', '迎', '推', '薦', '身心', '障', '礙', '朋友', '投', '遞', '本', '公司', '履', '歷', '◆', '***', '請', '務', '必', '附上', '英文', '履', '歷', '/', '自', '傳', '***', '***', '履', '歷', '請', '務', '必', '註', '明', '可上', '上班', '日期', '***']"
23,Cloud軟體工程師 (月薪10萬-20萬）,https://www.104.com.tw/job/4d1wo?jobsource=2018indexpoc,美商視龍有限公司台灣分公司,網際網路相關業,台北市中正區,經歷不拘,大學,"月薪100,000~200,000元","['Advanced', 'Programming', 'for', 'Cloud', 'Computing', '(', '月薪', '萬', '-', '萬', ')', 'Building', 'Big', 'Data', 'Solution', 'on', 'AWS', '熟悉', '任一', '語', '言', '，', '對', 'cloud', 'computing', '有', '熱', '忱', '，', '對', '分散', '分散式', '系', '統', '有', '興', '趣', '者']"
24,D4000 資料工程師,https://www.104.com.tw/job/5s4ut?jobsource=2018indexpoc,富邦媒體科技股份有限公司(富邦momo),百貨相關業,台北市內湖區,3年以上,大學,待遇面議,"['負', '責', '巨量', '資', '料', '探勘', '，', '參', '與', '數', '據', '模型', '建立', '，', '並', '優', '化', '模型', '架', '構', '。', '協', '助', '巨量', '資', '料', '系', '統', '規', '劃', '及', '開', '發', '，', '線', '上', '營', '運', '，', '架', '構', '完整', '數', '據', '服', '務', '平台', '。', '熟悉', '大量', '資', '料', '處', '理', '及', '分析', '。', '熟悉', '數', '據', '相', '關', '語', '言', '開', '發', '，', '如', 'Java', '、', 'Scala', '、', 'Python', '。', '有', '使用', 'GCP', '數', '據', '相', '關', '工具', '經', '驗', '，', '如', 'Bigquery', '、', 'DataFlow', '等等', '。*', '如', '經', '面', '試', '錄', '取', '後', '，', '報', '到', '時', '須', '繳', '交', '「', '體', '格', '檢', '查表', '(', '一般', ')」，', '請', '於', '報', '到', '前', '自行', '行至', '醫', '療', '機', '構', '辦', '理', '體', '檢', '*']"
25,Machine Learning Engineer,https://www.104.com.tw/job/6qf8j?jobsource=2018indexpoc,台灣現觀股份有限公司,電腦軟體服務業,台北市中山區,1年以上,碩士,待遇面議,"['-', 'Interaction', 'cross', '-', 'functionally', 'with', 'technical', '/', 'non', '-', 'technical', 'departments', '-', 'Ability', 'to', 'develop', 'reliable', 'and', 'scalable', 'data', 'pipelines', '-', 'Knowledge', 'about', 'Machine', 'Learning', 'technique', '(', 'SVM', 'Boosting', 'Regression', 'techniques', ')', '-', 'Experienced', 'in', 'scripting', 'programming', '(', 'python', 'R', ')', '-', 'Experienced', 'in', 'model', 'design', 'and', 'model', 'tuning', '#', 'Requirements', '-', 'Interaction', 'cross', '-', 'functionally', 'with', 'technical', '/', 'non', '-', 'technical', 'departments', '-', 'Ability', 'to', 'develop', 'reliable', 'and', 'scalable', 'data', 'pipelines', '-', 'Knowledge', 'about', 'Machine', 'Learning', 'technique', '(', 'SVM', 'Boosting', 'Regression', 'techniques', ')', '-', 'Experienced', 'in', 'scripting', 'programming', '(', 'python', 'R', ')', '-', 'Experienced', 'in', 'model', 'design', 'and', 'model', 'tuning', '#', 'Optional', '-', 'Familiar', 'with', 'CS', 'algorithm', '-', 'Familiar', 'with', 'databases', '-', 'Familiar', 'with', 'Deep', 'learning', 'frameworks', '(', 'tensorflow', 'pytorch', ')', '-', 'Experienced', 'in', 'OOP', 'such', 'as', 'c', 'c', 'java', 'scala', '-', 'Builds', 'a', 'metadata', 'system', 'where', 'all', 'avaliable', 'data', 'is', 'maintained', 'and', 'cataloged']"
26,數據分析運用工程師,https://www.104.com.tw/job/5wvxj?jobsource=2018indexpoc,眾匯智能健康股份有限公司,其他醫療保健服務業,台北市南港區,2年以上,大學,待遇面議,"['-', 'Interaction', 'cross', '-', 'functionally', 'with', 'technical', '/', 'non', '-', 'technical', 'departments', '-', 'Ability', 'to', 'develop', 'reliable', 'and', 'scalable', 'data', 'pipelines', '-', 'Knowledge', 'about', 'Machine', 'Learning', 'technique', '(', 'SVM', 'Boosting', 'Regression', 'techniques', ')', '-', 'Experienced', 'in', 'scripting', 'programming', '(', 'python', 'R', ')', '-', 'Experienced', 'in', 'model', 'design', 'and', 'model', 'tuning', '#', 'Requirements', '-', 'Interaction', 'cross', '-', 'functionally', 'with', 'technical', '/', 'non', '-', 'technical', 'departments', '-', 'Ability', 'to', 'develop', 'reliable', 'and', 'scalable', 'data', 'pipelines', '-', 'Knowledge', 'about', 'Machine', 'Learning', 'technique', '(', 'SVM', 'Boosting', 'Regression', 'techniques', ')', '-', 'Experienced', 'in', 'scripting', 'programming', '(', 'python', 'R', ')', '-', 'Experienced', 'in', 'model', 'design', 'and', 'model', 'tuning', '#', 'Optional', '-', 'Familiar', 'with', 'CS', 'algorithm', '-', 'Familiar', 'with', 'databases', '-', 'Familiar', 'with', 'Deep', 'learning', 'frameworks', '(', 'tensorflow', 'pytorch', ')', '-', 'Experienced', 'in', 'OOP', 'such', 'as', 'c', 'c', 'java', 'scala', '-', 'Builds', 'a', 'metadata', 'system', 'where', 'all', 'avaliable', 'data', 'is', 'maintained', 'and', 'cataloged']"
27,數據工程師 Data Engineer,https://www.104.com.tw/job/5dbhe?jobsource=2018indexpoc,威朋大數據股份有限公司,網際網路相關業,台北市松山區,經歷不拘,大學,待遇面議,"['[', 'About', 'this', 'job', ']', 'Develop', 'operate', 'and', 'monitor', 'ETL', 'for', 'data', 'collection', 'cleansing', 'processing', 'storage', 'and', 'analytics', 'Develop', 'data', 'visualization', 'to', 'track', 'data', 'usage', 'server', 'status', 'and', 'represent', 'data', 'insights', 'Automate', 'common', 'data', 'process', 'tasks', 'and', 'support', 'data', 'analysis', 'tasks', 'Write', 'documents', 'for', 'architecture', 'design', 'and', 'implementation', '[', 'About', 'you', ']', 'At', 'least', 'years', 'of', 'experience', 'in', 'building', 'and', 'operating', 'large', 'scale', 'distributed', 'systems', 'or', 'applications', 'At', 'least', 'years', 'of', 'experience', 'in', 'processing', 'data', 'with', 'Python', 'Scala', 'or', 'R', 'Familiar', 'with', 'Hadoop', 'ecosystem', 'such', 'as', 'Spark', 'Hive', 'Hue', 'Experience', 'with', 'implementing', 'highly', 'scalable', 'systems', 'on', 'top', 'of', 'cloud', 'infrastructures', 'such', 'as', 'AWS', 'Expertise', 'in', 'Linux', '/', 'Unix', 'environments', 'and', 'familiar', 'with', 'shell', 'scripting', 'Expertise', 'in', 'hands', '-', 'on', 'ETL', 'job', 'design', 'components', 'and', 'modules', 'development', 'of', 'data', 'process', 'Expertise', 'in', 'MySQL', 'and', 'database', 'performance', 'tunning', 'Great', 'communication', 'skill', 'and', 'can', '-', 'do', 'attitude', 'Required', 'skills', ':', 'Python', 'Scala', 'Hadoop', 'Hive', 'Spark', 'Linux', '/', 'Unix', 'AWS', 'MySQL', 'R', '[', 'More', ']', 'Data', 'mining', 'and', 'machine', 'learning', 'algorithm', 'experience', 'is', 'a', 'big', 'plus', 'Experience', 'with', 'data', 'visualization', 'tool', 'like', 'Tableau', 'is', 'a', 'plus', 'Experience', 'with', 'Jenkins', 'is', 'a', 'plus', '#', 'Requirements', '-', 'Interaction', 'cross', '-', 'functionally', 'with', 'technical', '/', 'non', '-', 'technical', 'departments', '-', 'Ability', 'to', 'develop', 'reliable', 'and', 'scalable', 'data', 'pipelines', '-', 'Knowledge', 'about', 'Machine', 'Learning', 'technique', '(', 'SVM', 'Boosting', 'Regression', 'techniques', ')', '-', 'Experienced', 'in', 'scripting', 'programming', '(', 'python', 'R', ')', '-', 'Experienced', 'in', 'model', 'design', 'and', 'model', 'tuning', '#', 'Optional', '-', 'Familiar', 'with', 'CS', 'algorithm', '-', 'Familiar', 'with', 'databases', '-', 'Familiar', 'with', 'Deep', 'learning', 'frameworks', '(', 'tensorflow', 'pytorch', ')', '-', 'Experienced', 'in', 'OOP', 'such', 'as', 'c', 'c', 'java', 'scala', '-', 'Builds', 'a', 'metadata', 'system', 'where', 'all', 'avaliable', 'data', 'is', 'maintained', 'and', 'cataloged']"
28,資料科學家 _ 汐止 _ 00000,https://www.104.com.tw/job/5kx8g?jobsource=2018indexpoc,緯創資通股份有限公司,電腦及其週邊設備製造業,新北市汐止區,經歷不拘,碩士,待遇面議,"['協', '助', '定', '義', '專', '案', '分析', '的', '範', '圍', '以及', '方法', '論', '，', '定', '義', '假', '說', '以及', '指', '標', '調', '整', '設', '計', '數', '據', '模型', '將', '商', '業', '問', '題', '轉', '化', '為', '可分', '分析', '的', '條', '件', '以及', '狀', '態', '帶', '領', '數', '據', '團', '隊', '挑', '戰', '實', '際', '商', '業', '活', '動', '的', '數', '據', '分析', '定', '義', '解', '決', '方法', '步', '驟', '的', '優', '先', '度', '使用', '統', '計', '，', '數', '學', '機', '器', '學', '習', '等', '方法', '法分析', '分析', '商', '業', '活', '動', '產', '生', '的', '資', '料', '開', '發', '分析', '工具', '套件', '協', '助', '分析', '設', '計', '建立', '預', '測', '工具', '尋', '找', '分析', '資', '料', '產', '生', '的', '新', '洞', '見', '良好', '的', '溝', '通', '以及', '呈', '現', '能力', '，', '能解', '釋', '複', '雜', '分析', '分析方法', '方法', '給', '予', '其他', '領', '域', '的', '專', '家', '了解', '應', '用', '機', '器', '學', '習', '方法', '論', '解', '決', '商', '業', '問', '題', '的', '經', '驗', '熟悉', '程式', '開', '發', '在', '下列', '至少', '一', '項', '程式', '語', '言', 'C', 'Java', 'R', 'Python', 'Perl', 'Scala', '參', '與', '過', 'Kaggle', '或', 'Datathon', '分析', '比', '賽', '有', '預', '測', '數', '據', '專', '案', '的', '實', '際', '經', '驗']"
29,Data Scientist,https://www.104.com.tw/job/71ag3?jobsource=2018indexpoc,非常勸敗VeryBuy_非常網路科技股份有限公司,網際網路相關業,台北市中山區,經歷不拘,學歷不拘,"年薪700,000~1,200,000元","['What', 'you', ""'"", 'll', 'do', 'Define', 'quantitative', 'measurement', 'for', 'qualitative', 'goals', 'Drive', 'complex', 'analytics', 'projects', 'from', 'loosely', 'defined', 'questions', 'to', 'actionable', 'insight', 'Utilizing', 'statistical', 'or', 'machine', 'learning', 'methods', 'to', 'perform', 'predictive', 'analytics', 'Utilizing', 'existing', 'technologies', 'to', 'explain', 'predictive', 'analytics', 'results', 'in', 'the', 'production', 'environmentRequirement', 'Strong', 'problem', 'solving', 'skills', 'Deep', 'understanding', 'of', 'numbers', 'as', 'well', 'as', 'a', 'strong', 'business', 'sense', 'Familiar', 'with', 'various', 'machine', 'learning', 'techniques', '(', 'clustering', 'decision', 'tree', 'learning', 'artificial', 'neural', 'networks', 'etc', ')', 'and', 'their', 'real', '-', 'world', 'advantages', '/', 'drawbacks', 'Knowledge', 'of', 'advanced', 'statistical', 'techniques', 'and', 'concepts', '(', 'regression', 'properties', 'of', 'distributions', 'statistical', 'tests', 'and', 'proper', 'usage', 'etc', ')', 'and', 'experience', 'with', 'applications', 'Experience', 'using', 'statistical', 'computer', 'languages', 'and', 'tools', 'such', 'as', 'Scala', 'R', 'Python', 'SQL', 'Spark', 'etc', '良好', '的', '溝', '通', '以及', '呈', '現', '能力', '，', '能解', '釋', '複', '雜', '分析', '分析方法', '方法', '給', '予', '其他', '領', '域', '的', '專', '家', '了解', '應', '用', '機', '器', '學', '習', '方法', '論', '解', '決', '商', '業', '問', '題', '的', '經', '驗', '熟悉', '程式', '開', '發', '在', '下列', '至少', '一', '項', '程式', '語', '言', 'C', 'Java', 'R', 'Python', 'Perl', 'Scala', '參', '與', '過', 'Kaggle', '或', 'Datathon', '分析', '比', '賽', '有', '預', '測', '數', '據', '專', '案', '的', '實', '際', '經', '驗']"
30,前端軟體工程師,https://www.104.com.tw/job/6yjoc?jobsource=2018indexpoc,伍豐科技股份有限公司,電腦及其週邊設備製造業,新北市汐止區,經歷不拘,專科,待遇面議,"['線', '上', '點', '餐', '平台', '、', '多', '媒', '體', '推', '播', '及其', '其他', 'OO', '應', '用', '之前', '前端', '開', '發', '視', '訊', '遊', '戲', '網', '站', '前端', '開', '發', '及', '維', '護', '視', '訊', '遊', '戲', 'APP', '開', '發', '（', 'Unity', '）', '及', '維', '護', '熟悉', 'Reactjs', '、', 'Unity', 'D', '、', 'PHP', '和', '主流', 'Web', '應', '用', '程式', '開', '發', '框架', '和', '技', '術', '，', '對', '資', '料', '庫', '和', 'Networking', '具', '備', '理', '論', '基', '礎', '及', '實', '務', '經', '驗', '。', '有', '豐', '富', '的', 'Web', '和', 'Mobile', '應', '用', '程式', '開', '發', '經', '驗', '。', '將', '派', '任', '於', '子公司', '公司', '-', '碩', '豐', '數', '位', '科技', '科技股', '科技股份', '股份', '股份有限', '有限', '有限公司', '公司']"
31,數據分析師(Data Analyst),https://www.104.com.tw/job/6easl?jobsource=2018indexpoc,霖園關係企業_神坊資訊股份有限公司,網際網路相關業,台北市信義區,1年以上,大學,待遇面議,"['【', '工作', '內', '容', '】', '主要', '職', '責', '：', '研', '發', '應', '用', '於', '品牌', '電', '商', '的', '機', '器', '學', '習', '與', '深度', '學', '習', '模型', '，', '以及', '社群', '內', '容', '的', '文字', '探勘', '職', '務', '說', '明', '：', '分析', '前', '的', '數', '據', '清洗', '、', '處', '理', '、', '特', '徵', '探索', '、', '以及', '統', '計', '、', '機', '器', '/', '深度', '學', '習', '模型', '的', '建立', '與', '參', '數', '優', '化', '與', '數', '據', '工程', '師', '合作', '，', '進', '行', '機', '器', '學', '習', '、', '深度', '學', '習', '與', '統', '計', '分析', '分析模型', '模型', '的', '維', '運', '化', '程式', '開', '發', '社群', '網', '路', '文字', '探勘', '，', '輿', '情分', '分析', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '需', '具', '備', '以下', '條', '件', '：', '至少', '少有', '兩', '種', '統', '計', '模型', '、', '機', '器', '學', '習', '或', '深度', '學', '習', '的', '使用', '經', '驗', '，', '並', '有', '能力', '介', '紹', '使用', '方法', '、', '應', '用', '或', '原理', '，', '比如', '但', '不限', '：', 'XGboost', '、', 'K', '-', 'means', '、', 'ALS', '、', 'Naive', 'Bayes', '、', 'LDA', '、', '各', '種', '類', '神', '經', '網', '路', '熟悉', 'Python', '或', 'R', '程式', '語', '言', '熟悉', 'SQL', 'statement', '熟悉', '任一', '數', '據', '分析', '繪', '圖', '套件', '，', '如', '：', 'Matplotlib', '、', 'Bokeh', '愛', '好', '自我', '學', '習', '、', '探索', '與', '分享', '的', '態', '度', '符合', '其中', '條', '件', '者', '尤佳', '：', '熟悉', 'Java', '、', 'Scala', '、', '或是', 'Javascript', '程式', '語', '言', '熟悉', 'D', '視', '覺', '化', '繪', '圖', '套件', '悉', '商用', '視', '覺', '化', '繪', '圖', '，', '如', 'Tableau', '熟悉', 'Spark', '運', '算', '框架', '熟悉', 'Linux', '的', '程式', '開', '發', '環', '境', '與', 'Shell', 'Script', '的', '使用', '用具', '備', '電', '商', '或', '品牌', '商', '領', '域', '的', '經', '驗']"
32,數據工程師-E10C,https://www.104.com.tw/job/6r38m?jobsource=2018indexpoc,精誠資訊股份有限公司,電腦系統整合服務業,台北市內湖區,2年以上,專科,待遇面議,"['撰', '寫', '網', '路', '爬', '蟲', '程式', '、', '存取', '串流', '資', '料', '、', '與', '公有', '雲', '平台', '(', 'GCP', '、', 'AWS', '、', 'Azure', ')', 'API', '界', '接', '，', '彙', '整', '多', '來', '源', '資', '料', '熟悉', 'SQL', '語', '法', '與', '任一', 'RDB', '熟悉', '任一', '一程', '程式', '語', '言', 'Java', '、', 'Python', '、', 'Scala', '熟悉', 'Linux', 'Shell', 'Script', '熟悉', 'Hadoop', '、', 'Spark', '等', '開', '源', '的', '分散', '分散式', 'Big', 'Data', '平台', '與', '多元', '的', '生', '態', '軟', '體', '組', '件', '具', '備', 'Vendor', '-', 'specific', '資', '料', '產', '品', '或', '雲', '端', '服', '務', '知', '識', '熟悉', '公有', '雲', '大', '數', '據', 'API', '介面']"
33,Sr Big Data Processing Engineer (Spark),https://www.104.com.tw/job/6qf83?jobsource=2018indexpoc,台灣現觀股份有限公司,電腦軟體服務業,台北市中山區,1年以上,大學,待遇面議,"['For', 'analyzing', 'the', 'lifestyles', 'of', 'mobile', 'users', 'based', 'on', 'big', 'data', 'from', 'mobile', 'operators', 'the', 'candidate', 'will', 'work', 'closely', 'with', 'CTO', 'Product', 'team', 'as', 'well', 'as', 'foreign', 'mobile', 'operators', 'Software', 'development', 'on', 'new', 'product', 'line', 'Mobility', 'Intelligence', 'Platform', 'Big', 'Data', 'platform', 'infrastructure', 'and', 'design', 'Handles', 'billions', 'of', 'records', '(', 'location', 'points', ')', 'every', 'day', 'in', 'mobile', 'operator', 'and', 'drive', 'subscriber', 'mobility', 'pattern', 'behavior', 'and', 'lifestyle', 'Handles', 'overall', 'system', 'platform', 'performance', 'Hands', 'on', 'capability', 'on', 'critical', 'module', 'evaluation', 'and', 'implementation', 'Occasional', 'customer', 'meeting', 'on', 'platform', 'architecture', 'explanationCriteria', ':', 'Hadoop', 'or', 'Spark', 'experience', 'is', 'a', 'must', 'Can', '-', 'do', 'attitude', 'and', 'good', 'team', 'player', 'Java', 'or', 'Scala', 'or', 'Python', 'experience', 'and', 'willing', 'to', 'learn', 'Scala', 'Plus', ':', 'Data', 'system', 'development', 'experience', 'Kafka', 'experience', 'Spark', 'streaming', 'experience', 'is', 'a', 'plus', 'Like', 'to', 'write', 'unit', 'tests', 'JavaScript', 'experience', 'English', 'speaking', 'ability', 'Duty', ':', 'Improve', 'the', 'current', 'data', 'processing', 'engine', 'written', 'in', 'Scala', 'Integrate', 'the', 'engine', 'with', 'other', 'applications', '(', 'Web', 'services', ')', 'Design', 'new', 'data', 'mining', 'process', 'for', 'new', 'data', 'insight', 'Interview', ':', 'Coding', 'on', 'this', 'platform', ':', 'https', '://', 'wwwcodingamecom', '/', 'training', '/', 'community', '/', 'apple', '-', 'tree', 'One', 'might', 'want', 'to', 'test', 'the', 'environment', 'before', 'the', 'interview', 'Interviewees', 'can', 'bring', 'their', 'own', 'laptops', 'or', 'use', 'the', 'MAC', 'provided', 'by', 'GT', 'The', 'tech', 'lead', 'of', 'the', 'team', 'will', 'introduce', 'the', 'current', 'software', 'structure', 'and', 'then', 'ask', 'some', 'technical', 'questions', 'Interview', 'with', 'the', 'BU', 'head']"
